year,rank,song,artist,solo_band,m_f,genre
2000,1,Breathe,Faith Hill,solo artist,female,country
2001,1,Hanging by a Moment,Lifehouse,band,male,alt rock
2002,1,How You Remind Me,Nickelback,band,male,grunge/rock
2003,1,In da Club,50 Cent,solo artist,male,hip hop
2004,1,Yeah!,"Usher feat. Lil Jon, Ludacris",solo artist with feature(s),male,R&B/crunk/dance pop
2005,1,We Belong Together,Mariah Carey,solo artist,female,R&B
2006,1,Bad Day,Daniel Powter,solo artist,male,pop
2007,1,Irreplaceable,Beyonce,solo artist,female,R&B
2008,1,Low,Flo Rida feat. T-Pain,solo artist with feature(s),male,crunk
2009,1,Boom Boom Pow,The Black Eyed Peas,band,male,edm/hip hop
2010,1,Tik Tok,Kesha,solo artist,female,dance pop
2011,1,Rolling in the Deep,Adele,solo artist,female,R&B
2012,1,Somebody That I Used to Know,Gotye feat. Kimbra,solo artist,male,art pop/alt rock
2013,1,Thrift Shop,Macklemore & Ryan Lewis feat. Wanz,solo artist with feature(s),male,hip hop
2014,1,Happy,Pharrell Williams,solo artist,male,soul
2015,1,Uptown Funk,Mark Ronson feat. Bruno Mars,solo artist with feature(s),male,funk pop/boogie
2016,1,Love Yourself,Justin Bieber,solo artist,male,pop
2017,1,Shape of You,Ed Sheeran,solo artist,male,pop/dancehall
2018,1,God's Plan,Drake,solo artist,male,hip hop
2019,1,Old Town Road,Lil Nas X feat. Billy Ray Cyrus,solo artist with feature(s),male,country rap
2020,1,Blinding Lights,The Weeknd,solo artist,male,synth pop/new wave
2021,1,Levitating,Dua Lipa,solo artist,female,electro-disco
2022,1,Heat Waves,Glass Animals,band,male,pop/rock
2023,1,Last Night,Morgan Wallen,solo artist,male,pop/rock
